iteration,gene,position,fitness
0,[9, 47, 18, 44],[[467, 1066], [929, 1036], [1114, 954], [1409, 958]],[237.6, 1637.3206666666663]
0,[12, 92, 64, 37],[[507, 928], [749, 1139], [1054, 988], [1289, 1096]],[237.6551724137931, 1656.2475862068966]
0,[74, 44, 51, 16],[[647, 893], [889, 1036], [1554, 1023], [1429, 993]],[268.06666666666666, 1752.0383333333334]
0,[58, 93, 73, 10],[[487, 1031], [789, 794], [1174, 988], [1349, 993]],[260.56666666666666, 1858.8936666666666]
0,[19, 72, 5, 33],[[547, 1066], [629, 863], [954, 1161], [1249, 1027]],[9.99999999E8, 9.99999999E8]
0,[22, 73, 73, 42],[[587, 928], [629, 932], [1174, 988], [1369, 1027]],[9.99999999E8, 9.99999999E8]
0,[28, 67, 6, 39],[[627, 997], [589, 863], [994, 954], [1329, 1027]],[9.99999999E8, 9.99999999E8]
0,[90, 4, 49, 4],[[807, 893], [529, 967], [1514, 1023], [1269, 993]],[9.99999999E8, 9.99999999E8]
0,[68, 42, 44, 13],[[607, 824], [849, 1105], [1434, 1092], [1389, 993]],[9.99999999E8, 9.99999999E8]
0,[12, 100, 59, 15],[[507, 928], [829, 1001], [974, 1057], [1389, 1131]],[9.99999999E8, 9.99999999E8]
1,[9, 47, 18, 44],[[467, 1066], [929, 1036], [1114, 954], [1409, 958]],[237.6, 1637.3206666666663]
1,[12, 92, 73, 37],[[507, 928], [749, 1139], [1174, 988], [1289, 1096]],[236.26666666666668, 1682.0553333333332]
1,[12, 90, 64, 37],[[507, 928], [749, 1001], [1054, 988], [1289, 1096]],[237.3793103448276, 1652.4782758620686]
1,[3, 92, 64, 37],[[427, 928], [749, 1139], [1054, 988], [1289, 1096]],[238.33333333333334, 1637.4110000000003]
1,[76, 41, 6, 44],[[647, 1031], [849, 1036], [994, 954], [1409, 958]],[246.31034482758622, 1640.4662068965515]
1,[74, 44, 73, 52],[[647, 893], [889, 1036], [1174, 988], [1489, 1096]],[272.93333333333334, 1664.5520000000004]
1,[9, 93, 73, 10],[[467, 1066], [789, 794], [1174, 988], [1349, 993]],[254.20689655172413, 1865.713793103448]
1,[74, 44, 51, 16],[[647, 893], [889, 1036], [1554, 1023], [1429, 993]],[274.4, 1751.6413333333333]
1,[58, 27, 73, 10],[[487, 1031], [729, 967], [1174, 988], [1349, 993]],[9.99999999E8, 9.99999999E8]
1,[58, 78, 73, 44],[[487, 1031], [669, 932], [1174, 988], [1409, 958]],[9.99999999E8, 9.99999999E8]
2,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[241.3793103448276, 1626.5048275862068]
2,[12, 90, 64, 37],[[507, 928], [749, 1001], [1054, 988], [1289, 1096]],[232.03333333333333, 1628.4396666666662]
2,[9, 47, 18, 44],[[467, 1066], [929, 1036], [1114, 954], [1409, 958]],[237.6, 1637.3206666666663]
2,[12, 47, 18, 37],[[507, 928], [929, 1036], [1114, 954], [1289, 1096]],[239.93333333333334, 1653.2063333333333]
2,[76, 47, 18, 44],[[647, 1031], [929, 1036], [1114, 954], [1409, 958]],[245.06666666666666, 1654.3776666666665]
2,[9, 93, 18, 44],[[467, 1066], [789, 794], [1114, 954], [1409, 958]],[259.82758620689657, 1831.9872413793103]
2,[15, 67, 87, 10],[[507, 1135], [589, 863], [1334, 1126], [1349, 993]],[9.99999999E8, 9.99999999E8]
2,[12, 48, 80, 37],[[507, 928], [929, 1105], [1254, 1057], [1289, 1096]],[9.99999999E8, 9.99999999E8]
2,[9, 17, 64, 37],[[467, 1066], [649, 967], [1054, 988], [1289, 1096]],[9.99999999E8, 9.99999999E8]
2,[12, 44, 4, 44],[[507, 928], [889, 1036], [954, 1092], [1409, 958]],[9.99999999E8, 9.99999999E8]
3,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[241.3793103448276, 1626.5048275862068]
3,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[235.4, 1655.0246666666665]
3,[12, 90, 64, 48],[[507, 928], [749, 1001], [1054, 988], [1449, 1027]],[253.46666666666667, 1620.9486666666667]
3,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[237.9, 1653.9966666666667]
3,[12, 90, 18, 45],[[507, 928], [749, 1001], [1114, 954], [1409, 1027]],[256.26666666666665, 1645.5869999999998]
3,[9, 47, 95, 44],[[467, 1066], [929, 1036], [1454, 1057], [1409, 958]],[258.43333333333334, 1676.9303333333332]
3,[9, 93, 18, 44],[[467, 1066], [789, 794], [1114, 954], [1409, 958]],[263.1666666666667, 1866.7693333333334]
3,[9, 60, 64, 44],[[467, 1066], [509, 932], [1054, 988], [1409, 958]],[9.99999999E8, 9.99999999E8]
3,[84, 11, 18, 44],[[727, 962], [609, 898], [1114, 954], [1409, 958]],[9.99999999E8, 9.99999999E8]
3,[1, 43, 80, 37],[[387, 1066], [889, 967], [1254, 1057], [1289, 1096]],[9.99999999E8, 9.99999999E8]
3,[57, 98, 16, 32],[[487, 962], [789, 1139], [1074, 1092], [1249, 958]],[9.99999999E8, 9.99999999E8]
4,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[241.3793103448276, 1626.5048275862068]
4,[26, 90, 64, 48],[[627, 859], [749, 1001], [1054, 988], [1449, 1027]],[257.1666666666667, 1613.803]
4,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[239.3448275862069, 1633.058275862069]
4,[9, 52, 18, 44],[[467, 1066], [1009, 1036], [1114, 954], [1409, 958]],[237.82758620689654, 1639.004482758621]
4,[12, 90, 64, 48],[[507, 928], [749, 1001], [1054, 988], [1449, 1027]],[255.8, 1644.8359999999998]
4,[9, 88, 18, 44],[[467, 1066], [749, 863], [1114, 954], [1409, 958]],[256.0, 1687.0544827586202]
4,[9, 93, 18, 44],[[467, 1066], [789, 794], [1114, 954], [1409, 958]],[260.06666666666666, 1848.8746666666668]
4,[9, 90, 95, 48],[[467, 1066], [749, 1001], [1454, 1057], [1449, 1027]],[275.6666666666667, 1699.986]
4,[12, 90, 102, 45],[[507, 928], [749, 1001], [1534, 988], [1409, 1027]],[266.7931034482759, 1731.5506896551724]
4,[9, 90, 18, 1],[[467, 1066], [749, 1001], [1114, 954], [1229, 993]],[9.99999999E8, 9.99999999E8]
4,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[9.99999999E8, 9.99999999E8]
5,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[241.3793103448276, 1626.5048275862068]
5,[9, 101, 11, 48],[[467, 1066], [829, 1070], [1034, 1023], [1449, 1027]],[246.86666666666667, 1612.4726666666668]
5,[9, 33, 18, 44],[[467, 1066], [769, 1036], [1114, 954], [1409, 958]],[235.86666666666667, 1642.9500000000005]
5,[23, 41, 18, 44],[[587, 997], [849, 1036], [1114, 954], [1409, 958]],[244.0, 1638.2503333333334]
5,[7, 90, 78, 48],[[467, 928], [749, 1001], [1214, 1126], [1449, 1027]],[271.0689655172414, 1623.3337931034482]
5,[26, 96, 18, 44],[[627, 859], [789, 1001], [1114, 954], [1409, 958]],[248.33333333333334, 1631.8976666666667]
5,[9, 41, 18, 18],[[467, 1066], [849, 1036], [1114, 954], [1429, 1131]],[240.13333333333333, 1653.7513333333338]
5,[45, 37, 64, 48],[[787, 928], [809, 1036], [1054, 988], [1449, 1027]],[266.3666666666667, 1728.2186666666664]
5,[19, 41, 102, 45],[[547, 1066], [849, 1036], [1534, 988], [1409, 1027]],[256.2, 1743.7443333333335]
5,[12, 59, 64, 48],[[507, 928], [509, 863], [1054, 988], [1449, 1027]],[9.99999999E8, 9.99999999E8]
5,[9, 41, 63, 25],[[467, 1066], [849, 1036], [1014, 1126], [1509, 1131]],[9.99999999E8, 9.99999999E8]
6,[43, 96, 18, 9],[[747, 1066], [789, 1001], [1114, 954], [1309, 1131]],[233.03333333333333, 1654.29]
6,[9, 101, 11, 48],[[467, 1066], [829, 1070], [1034, 1023], [1449, 1027]],[243.68965517241378, 1619.6606896551723]
6,[9, 41, 61, 44],[[467, 1066], [849, 1036], [1014, 988], [1409, 958]],[238.72413793103448, 1628.867931034483]
6,[9, 33, 18, 44],[[467, 1066], [769, 1036], [1114, 954], [1409, 958]],[239.83333333333334, 1625.8509999999997]
6,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[241.3793103448276, 1626.5048275862068]
6,[21, 33, 77, 44],[[587, 859], [769, 1036], [1214, 1057], [1409, 958]],[257.03333333333336, 1632.7123333333332]
6,[37, 41, 64, 44],[[707, 928], [849, 1036], [1054, 988], [1409, 958]],[245.7, 1656.2043333333334]
6,[9, 41, 102, 45],[[467, 1066], [849, 1036], [1534, 988], [1409, 1027]],[260.03333333333336, 1724.022]
6,[66, 41, 33, 13],[[567, 1031], [849, 1036], [1314, 954], [1389, 993]],[9.99999999E8, 9.99999999E8]
6,[26, 19, 18, 18],[[627, 859], [649, 1105], [1114, 954], [1429, 1131]],[9.99999999E8, 9.99999999E8]
6,[13, 101, 72, 48],[[507, 997], [829, 1070], [1134, 1126], [1449, 1027]],[9.99999999E8, 9.99999999E8]
7,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[232.7, 1623.757]
7,[9, 101, 11, 48],[[467, 1066], [829, 1070], [1034, 1023], [1449, 1027]],[248.0, 1619.1383333333333]
7,[43, 96, 18, 9],[[747, 1066], [789, 1001], [1114, 954], [1309, 1131]],[233.03333333333333, 1654.29]
7,[9, 33, 18, 44],[[467, 1066], [769, 1036], [1114, 954], [1409, 958]],[236.17241379310346, 1630.3465517241382]
7,[9, 41, 61, 44],[[467, 1066], [849, 1036], [1014, 988], [1409, 958]],[236.44827586206895, 1626.8893103448274]
